,category,full_text,retweet_count,created_at,geo
86,Android,"RT @MathuresP: Why the #Samsung Galaxy Tab S7+ is the friendliest Android tab in the market. #GalaxyTabS7Plus

https://t.co/ZvVZQwvdy0",1,Tue Sep 15 19:20:14 +0000 2020,
87,Android,Which one of you android users made this https://t.co/YvpzO1kgBr,0,Tue Sep 15 19:20:13 +0000 2020,
88,Android,"RT @Blanksynthetics: 1999 Volvo C70 (Turbo)130K
$1200 OBO discount if paid in btc*
New: Tires, Plugs, Battery, Motor Mounts, Android Radio…",47,Tue Sep 15 19:20:12 +0000 2020,
89,Android,RT @Halyrab: Listen to Ayo (Album) by WIZKID💜 on Boomplay. https://t.co/qJQ0WRsFxl,21,Tue Sep 15 19:20:12 +0000 2020,
90,Android,"RT @Dolby: Untamed and unleashed in Dolby. @SuperM's new single is streaming now in Dolby Atmos®.⁣
⁣
Experience Tiger Inside on @AmazonMusi…",1793,Tue Sep 15 19:20:12 +0000 2020,
91,Android,RT @shitty_droid: A short post on using post and postDelayed to remind you that there is also the removeCallbacks method and a thing called…,1,Tue Sep 15 19:20:11 +0000 2020,
92,Android,When will zenfone max m2 will get android 10 update really looking forward to it.,0,Tue Sep 15 19:20:10 +0000 2020,
93,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:10 +0000 2020,
94,Android,"RT @XboxGamePass: We made a song called ""so many games"" to inform everyone that as of today, you can play over 100 games on your Android mo…",491,Tue Sep 15 19:20:09 +0000 2020,
95,Android,"Swordshot: iOS / Android Gameplay Part 1 (by Crescent Moon Games)
https://t.co/n9QYTJ7n7q",0,Tue Sep 15 19:20:09 +0000 2020,
96,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:08 +0000 2020,
97,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:06 +0000 2020,
98,Android,"RT @XboxCanada: Discover over 100 great games. The Cloud gaming (Beta) is now available with Xbox Game Pass Ultimate, straight from your An…",12,Tue Sep 15 19:20:06 +0000 2020,
99,Android,Pokemon Go Hack Android/iOS 🔥 Pokemon Go Spoofing Joystick GPS &amp; Teleport 🔥 https://t.co/hkvpRalA7G via @YouTube,0,Tue Sep 15 19:20:06 +0000 2020,
100,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:20:05 +0000 2020,
101,Android,"RT @Dolby: Untamed and unleashed in Dolby. @SuperM's new single is streaming now in Dolby Atmos®.⁣
⁣
Experience Tiger Inside on @AmazonMusi…",1793,Tue Sep 15 19:20:05 +0000 2020,
102,Android,"RT @untitledfag: android users be knowing the most irrelevant details about smartphones like they’re prepared, at any given moment, to deba…",165,Tue Sep 15 19:20:04 +0000 2020,
103,Android,RT @Louis_Tomlinson: Hahahahahahaa this android is shiiiit. I'll put a story on later,18286,Tue Sep 15 19:20:03 +0000 2020,
104,Android,"RT @amandathesauce: Does iPhone 12 display Android logo when switched on?? 
Pls answer me before I mad😖😖😖😖😖",99,Tue Sep 15 19:19:59 +0000 2020,
105,Android,"RT @Blanksynthetics: 1999 Volvo C70 (Turbo)130K
$1200 OBO discount if paid in btc*
New: Tires, Plugs, Battery, Motor Mounts, Android Radio…",47,Tue Sep 15 19:19:57 +0000 2020,
106,Android,Android ppl dey bleed #AppleEvent,0,Tue Sep 15 19:19:52 +0000 2020,
107,Android,Pokemon Go Hack Android/iOS 🔥 Pokemon Go Spoofing Joystick GPS &amp; Teleport 🔥 https://t.co/C2sWoOxJMa via @YouTube,0,Tue Sep 15 19:19:52 +0000 2020,
108,Android,"RT @oukitelmobile: Introducing #OukitelWP8Pro! The best #sportsphone in 2020!
📱6.49'' Immense Display
🔋5000mAh Huge Battery
🚀NFC &amp; Android…",288,Tue Sep 15 19:19:51 +0000 2020,
109,Android,I hate having an android this shit sucks ass,0,Tue Sep 15 19:19:50 +0000 2020,
110,Android,"RT @MiTVIndia: Mi fans, Grab your #MiTV #HorizonEditon today.

Get your Mi TV 4A 80cm (32) Horizon Edition at 12PM.

Available at just ₹13,…",148,Tue Sep 15 19:19:48 +0000 2020,
111,Android,"RT @Blanksynthetics: 1999 Volvo C70 (Turbo)130K
$1200 OBO discount if paid in btc*
New: Tires, Plugs, Battery, Motor Mounts, Android Radio…",47,Tue Sep 15 19:19:48 +0000 2020,
112,Android,"RT @The_Mentalyst: Tomorrow TL will be full of iOS 14 screenshots &amp; Angry android heads with, “we had that 10 years ago” comments.",16,Tue Sep 15 19:19:45 +0000 2020,
113,Android,Pokemon Go Hack Android/iOS 🔥 Pokemon Go Spoofing Joystick GPS &amp; Teleport 🔥 https://t.co/hmDzv7v4Wr via @YouTube,0,Tue Sep 15 19:19:40 +0000 2020,
